loan_amnt,term,int_rate,grade,emp_title,emp_length,annual_inc,issue_d,loan_status,purpose,total_pymnt,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,flag
16000,60 months,13.08%,B,NA,n/a,73902,Mar-2019,Current,credit_card,1082.5,Jun-2019,364.71,Jul-2019,Jun-2019,1
5000,36 months,13.08%,B,RN,2 years,11e4,Mar-2019,Current,debt_consolidation,524.18,Jun-2019,168.67,Jul-2019,Jun-2019,1
20000,60 months,14.47%,C,Foreman,2 years,6e4,Feb-2019,Current,debt_consolidation,1953.39,Jun-2019,470.26,Jul-2019,Jun-2019,1
21000,60 months,8.19%,A,QC Mortgage Underwriter,3 years,67e3,Mar-2019,Current,debt_consolidation,1273.6,Jun-2019,427.72,Jul-2019,Jun-2019,1
8800,36 months,6.46%,A,Mate,6 years,55e3,Jan-2019,Current,debt_consolidation,1071.92,May-2019,269.56,Jul-2019,Jun-2019,1
30000,36 months,18.94%,D,Director,< 1 year,152300,Jan-2019,Current,debt_consolidation,5414.98,Jun-2019,1098.78,Jul-2019,Jun-2019,1
35825,36 months,12.40%,B,Supervisor,10+ years,158400,Mar-2019,Current,debt_consolidation,3565.6,Jun-2019,1196.76,Jul-2019,Jun-2019,1
10000,36 months,8.81%,A,District Manager,6 years,106e3,Feb-2019,Current,debt_consolidation,1263.59,Jun-2019,317.12,Jul-2019,Jun-2019,1
10500,36 months,8.19%,A,Dental Asstiant,10+ years,27e3,Feb-2019,Current,credit_card,1363.9,Jun-2019,329.96,Jul-2019,Jun-2019,1
18000,36 months,7.02%,A,Launch Manager,8 years,76629,Mar-2019,Current,home_improvement,1660.86,Jun-2019,555.96,Jul-2019,Jun-2019,1
10000,36 months,8.19%,A,Foster Care Social Worker,< 1 year,39e3,Mar-2019,Current,credit_card,938.2,Jun-2019,314.25,Jul-2019,Jun-2019,1
7500,36 months,20.00%,D,OR instrument technician,10+ years,39e3,Feb-2019,Current,vacation,1106.59,Jun-2019,278.73,Jul-2019,Jun-2019,1
25000,36 months,8.19%,A,Supervisor,10+ years,94100,Mar-2019,Current,debt_consolidation,2345.45,Jun-2019,785.61,Jul-2019,Jun-2019,1
40000,60 months,18.94%,D,"Director, Operations & Plasma Business",10+ years,2e5,Jan-2019,Current,moving,5139.46,Jun-2019,1036.31,Jul-2019,Jun-2019,1
12000,36 months,14.74%,C,para professional aid,10+ years,3e4,Mar-2019,Current,debt_consolidation,1233.55,Jun-2019,414.46,Jul-2019,Jun-2019,1
17000,36 months,15.57%,C,NA,n/a,36e3,Mar-2019,Current,debt_consolidation,1767.51,Jun-2019,594.07,Jul-2019,Jun-2019,1
30000,36 months,8.81%,A,Road Driver,10+ years,107e3,Feb-2019,Current,debt_consolidation,3776.03,Jun-2019,951.35,Jul-2019,Jun-2019,1
9000,36 months,7.56%,A,Life coach,2 years,39600,Jan-2019,Current,credit_card,1397.27,Jun-2019,280.21,Jul-2019,Jun-2019,1
40000,60 months,10.33%,B,VP of Information Technology,7 years,238e3,Mar-2019,Current,credit_card,2546.24,Jun-2019,856.4,Jul-2019,Jun-2019,1
6025,36 months,16.14%,C,NA,n/a,44e3,Feb-2019,Current,debt_consolidation,838.16,Jun-2019,212.24,Jul-2019,Jun-2019,1
5500,36 months,11.80%,B,APPRENTICE,3 years,6e4,Jan-2019,Current,debt_consolidation,903.59,Jun-2019,182.16,Jul-2019,Jun-2019,1
30000,60 months,13.08%,B,Supervisor,10+ years,104e3,Mar-2019,Current,debt_consolidation,2042.08,Jun-2019,718.02,Jul-2019,Jun-2019,1
8000,36 months,16.14%,C,Nurse,10+ years,8e4,Jan-2019,Current,major_purchase,1412.25,Jun-2019,281.81,Jul-2019,Jun-2019,1
