State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Totals
Alabama,52138,63947,57656,46332,43111,41709,43600,45465,45081,50068,56324,75874,621305
Alaska,4951,6353,7271,8305,7166,6005,6035,7816,6625,9803,7851,9442,87623
Arizona,24458,29657,28307,25939,24566,22049,21193,26519,23538,25181,26203,33062,310672
Arkansas,17158,24599,20173,16546,17070,14177,13484,15895,17053,23097,25577,29453,234282
California,100054,111341,137660,134448,120661,102639,104309,119570,118856,128439,132469,164170,1474616
Colorado,33328,36936,38547,34615,31697,26802,29247,32230,30504,35546,36523,47309,413284
Connecticut,28542,29640,36553,20715,14437,13270,12620,16479,22160,24547,23451,27883,270297
Delaware,2486,3207,3534,2822,3896,2928,2960,3415,3289,3802,4764,5847,42950
District of Columbia,52,28,48,36,31,23,49,47,48,52,45,53,512
Florida,82342,100876,104835,94323,78127,70597,70230,75868,77573,83962,87931,107882,1034546
Georgia,36627,50459,45841,36533,33247,30386,32987,35344,35423,43186,44325,60222,484580
Guam,173,158,205,209,166,145,126,162,181,172,160,203,2060
Hawaii,1337,1222,1333,1597,1155,1210,1291,1130,1153,1330,1078,1389,15225
Idaho,8532,11822,14322,10422,9289,9745,8251,10295,11211,11973,10932,14948,131742
Illinois,121288,115903,145597,105924,92638,112407,86596,91721,117143,103053,104606,147220,1344096
Indiana,38520,51976,52880,42399,36151,30807,31816,37077,34547,80707,136175,74495,647550
Iowa,13003,13167,13686,10404,8165,8569,7575,7923,8494,10795,10906,14335,127022
Kansas,14248,17798,16410,13161,10895,10053,10381,11796,12558,14601,18147,22119,172167
Kentucky,258471,259837,280948,274155,230610,214382,248979,232853,80383,31756,84113,295697,2492184
Louisiana,22584,28120,25477,19656,19085,18906,17996,24409,31703,29220,33557,44644,315357
Maine,5673,7101,7591,6890,5674,4783,4923,6313,7667,10133,7347,8990,83085
Mariana Islands,0,1,0,2,0,1,2,0,2,2,2,0,12
Maryland,21715,18999,17071,10548,7913,7320,6878,8265,8480,10073,12483,12462,142207
Massachusetts,17908,16662,20176,16097,14087,13474,12638,13949,12394,14369,13258,14332,179344
Michigan,29623,35449,42636,36618,31109,28148,29119,32189,37179,40169,39561,42291,424091
Minnesota,34528,40503,50582,46067,34462,35400,33483,37674,41988,45025,38258,43152,481122
Mississippi,14902,21805,17334,13044,12506,11455,11995,15732,20332,19086,24074,32564,214829
Missouri,36903,48674,46051,38283,31691,30079,30494,40886,39077,50021,60330,64574,517063
Montana,8273,10352,11045,10056,8930,8454,7798,9986,10880,12833,10052,13177,121836
Nebraska,6115,6384,6437,5240,4074,3550,3704,4763,5577,6735,7072,8917,68568
Nevada,9387,11879,11769,9819,8950,9000,8108,8780,8630,8873,8950,12590,116735
New Hampshire,9884,10204,12519,11592,10119,8534,8374,9688,9668,11633,10215,12247,124677
New Jersey,7954,7762,9726,8472,7908,6649,6792,6828,6470,7435,7612,8712,92320
New Mexico,10183,13859,13550,10620,10235,9546,9168,10816,10973,12641,12308,15881,139780
New York,25551,27317,33819,43433,25889,23810,27126,27139,28575,34659,33260,34849,365427
North Carolina,41804,224667,541978,59495,34589,32577,31117,35184,35405,43204,45758,56571,1182349
North Dakota,5594,6472,6329,6330,5216,4224,4382,5239,5914,7836,6217,6795,70548
Ohio,40864,59527,59244,48767,40586,35267,37889,42044,42944,53277,64249,71731,596389
Oklahoma,26608,33901,30087,26310,22251,21797,21917,25875,25886,30881,37671,45311,348495
Oregon,19504,23197,24346,19475,17875,16461,14896,16665,19544,20667,22003,28411,243044
Pennsylvania,69963,76916,93402,74553,63261,56296,59582,67743,71450,83119,87572,95384,899241
Puerto Rico,1400,1386,1431,1221,1378,1188,1219,1391,1316,1402,1369,1417,16118
Rhode Island,1646,1897,2208,1667,1471,1251,1374,1617,1570,1889,1822,1988,20400
South Carolina,22356,28440,28436,21621,21331,19781,19093,22184,20378,24311,26987,34846,289764
South Dakota,6101,7897,7538,6054,5167,4781,4984,6261,7166,9445,8620,9645,83659
Tennessee,45597,55684,43344,36861,33567,32665,34494,39800,38227,44933,55288,72934,533394
Texas,130524,147793,130310,101103,97814,91133,94876,115497,114900,122547,138837,180658,1465992
Utah,21908,21548,22924,29587,26525,23271,19385,19335,17531,16476,19211,26111,263812
Vermont,2138,3132,3305,3114,2100,1736,1868,2280,2743,3101,2833,3152,31502
Virgin Islands,131,108,108,103,94,105,63,132,112,127,94,94,1271
Virginia,31647,42073,40700,31037,27385,26351,28031,30501,31726,36419,43955,49939,419764
Washington,40612,44399,45491,46446,37636,32647,31164,32674,35256,41682,44282,49826,482115
West Virginia,15350,23569,20942,16702,14682,12646,13298,15799,16952,20922,24050,26935,221847
Wisconsin,23568,31698,37199,32375,22493,19302,19541,24467,27754,33262,31027,31622,334308
Wyoming,4359,5677,5699,5508,5187,4644,4205,4637,5296,5421,5399,7031,63063
